un_number,name_en,class_or_division,subsidiary_hazard,packing_group,special_provisions,limited_quantity,excepted_quantity,packing_instructions,special_packing_provisions,tank_bulk_instructions,tank_special_provisions,source_page
1079,,2.3,8,,,0,E0,P200,,T50,TP19,218
1080,,2.2,,,392,120 ml,E1,P200,,,,218
1081,,2.1,,,386,0,E0,P200,,,,218
1082,( R 1113),2.3,2.1,,386,0,E0,P200,,T50,,219
1083,,2.1,,,,0,E0,P200,,T50,,219
1085,,2.1,,,386,0,E0,P200,,T50,,219
1086,,2.1,,,386,0,E0,P200,,T50,,219
1087,,2.1,,,386,0,E0,P200,,T50,,219
1088,,3,,II,,1 L,E2,P001 IBC02,,T4,TP1,219
1089,,3,,I,,0,E0,P001,,T11,TP2 TP7,219
1090,,3,,II,,1 L,E2,P001 IBC02,,T4,TP1,219
1091,,3,,II,,1 L,E2,P001 IBC02,,T4,TP1 TP8,219
1092,,6.1,3,I,354 386,0,E0,P601,,T22,TP2 TP7 TP13,219
1093,,3,6.1,I,386,0,E0,P001,,T14,TP2 TP13,219
1098,,6.1,3,I,354,0,E0,P602,,T20,TP2 TP13,219
1099,,3,6.1,I,,0,E0,P001,,T14,TP2 TP13,219
1100,,3,6.1,I,,0,E0,P001,,T14,TP2 TP13,219
1104,,3,,III,,5 L,E1,P001 IBC03 LP01,,T2,TP1,219
1105,,3,,II,,1 L,E2,P001 IBC02,,T4,TP1 TP29,219
1105,,3,,III,223,5 L,E1,P001 IBC03 LP01,,T2,TP1,219
1106,,3,8,II,,1 L,E2,P001 IBC02,,T7,TP1,219
1106,,3,8,III,223,5 L,E1,P001 IBC03,,T4,TP1,219
1107,,3,,II,,1 L,E2,P001 IBC02,,T4,TP1,219
1108,1-(),3,,I,,0,E3,P001,,T11,TP2,219
1109,,3,,III,,5 L,E1,P001 IBC03 LP01,,T2,TP1,219
1110,,3,,III,,5 L,E1,P001 IBC03 LP01,,T2,TP1,219
1111,,3,,II,,1 L,E2,P001 IBC02,,T4,TP1,219
1112,,3,,III,,5 L,E1,P001 IBC03 LP01,,T2,TP1,219
1113,,3,,II,,1 L,E2,P001 IBC02,,T4,TP1,220
1114,,3,,II,,1 L,E2,P001 IBC02,,T4,TP1,220
1120,,3,,II,,1 L,E2,P001 IBC02,,T4,TP1 TP29,220
1120,,3,,III,223,5 L,E1,P001 IBC03 LP01,,T2,TP1,220
1123,,3,,II,,1 L,E2,P001 IBC02,,T4,TP1,220
1123,,3,,III,223,5 L,E1,P001 IBC03 LP01,,T2,TP1,220
1125,,3,8,II,,1 L,E2,P001 IBC02,,T7,TP1,220
1126,1-,3,,II,,1 L,E2,P001 IBC02,,T4,TP1,220
1127,,3,,II,,1 L,E2,P001 IBC02,,T4,TP1,220
1128,,3,,II,,1 L,E2,P001 IBC02,,T4,TP1,220
1129,,3,,II,,1 L,E2,P001 IBC02,,T4,TP1,220
1130,,3,,III,,5 L,E1,P001 IBC03 LP01,,T2,TP1,220
1131,,3,6.1,I,,0,E0,P001,PP31,T14,TP2 TP7 TP13,220
1133,,3,,I,,500 ml,E3,P001,,T11,TP1 TP8 TP27,220
1133,,3,,II,,5 L,E2,P001 IBC02,PP1,T4,TP1 TP8,220
1133,,3,,III,223,5 L,E1,P001 IBC03 LP01,PP1,T2,TP1,220
1134,,3,,III,,5 L,E1,P001 IBC03 LP01,,T2,TP1,220
1135,2-,6.1,3,I,354,0,E0,P602,,T20,TP2 TP13,220
1136,,3,,II,,1 L,E2,P001 IBC02,,T4,TP1,220
1136,,3,,III,223,5 L,E1,P001 IBC03 LP01,,T4,TP1 TP29,220
1139,(,3,,I,,500 ml,E3,P001,,T11,TP1 TP8 TP27,220
1139,( ),3,,II,,5 L,E2,P001 IBC02,,T4,TP1 TP8,221
1139,( ),3,,III,223,5 L,E1,P001 IBC03 LP01,,T2,TP1,221
1143,,6.1,3,I,324 354 386,0,E0,P602,,T20,TP2 TP13,221
1144,,3,,I,,0,E3,P001,,T11,TP2,221
1145,,3,,II,,1 L,E2,P001 IBC02,,T4,TP1,221
1146,,3,,II,,1 L,E2,P001 IBC02,,T7,TP1,221
1147,,3,,III,,5 L,E1,P001 IBC03 LP01,,T2,TP1,221
1148,,3,,II,,1 L,E2,P001 IBC02,,T4,TP1,221
1148,,3,,III,223,5 L,E1,P001 IBC03 LP01,,T2,TP1,221
1149,,3,,III,,5 L,E1,P001 IBC03 LP01,,T2,TP1,221
1150,"1,2-",3,,II,,1 L,E2,P001 IBC02,,T7,TP2,221
1152,,3,,III,,5 L,E1,P001 IBC03 LP01,,T2,TP1,221
1153,,3,,II,,1 L,E2,P001 IBC02,,T4,TP1,221
1153,,3,,III,,5 L,E1,P001 IBC03 LP01,,T2,TP1,221
1154,,3,8,II,,1 L,E2,P001 IBC02,,T7,TP1,221
1155,(),3,,I,,0,E3,P001,,T11,TP2,221
1156,,3,,II,,1 L,E2,P001 IBC02,,T4,TP1,221
1157,,3,,III,,5 L,E1,P001 IBC03 LP01,,T2,TP1,221
1158,,3,8,II,,1 L,E2,P001 IBC02,,T7,TP1,221
1159,,3,,II,,1 L,E2,P001 IBC02,,T4,TP1,221
1160,,3,8,II,,1 L,E2,P001 IBC02,,T7,TP1,222
1161,,3,,II,,1 L,E2,P001 IBC02,,T4,TP1,222
1162,,3,8,II,,0,E0,P010,,T10,TP2 TP7 TP13,222
1163,,6.1,3 8,I,354,0,E0,P602,,T20,TP2 TP13,222
1164,,3,,II,,1 L,E2,P001 IBC02,B8,T7,TP2,222
1165,,3,,II,,1 L,E2,P001 IBC02,,T4,TP1,222
1166,,3,,II,,1 L,E2,P001 IBC02,,T4,TP1,222
1167,,3,,I,386,0,E3,P001,,T11,TP2,222
1170,() (),3,,II,144,1 L,E2,P001 IBC02,,T4,TP1,222
1170,,3,,III,144 223,5 L,E1,P001 IBC03 LP01,,T2,TP1,222
1171,,3,,III,,5 L,E1,P001 IBC03 LP01,,T2,TP1,222
1172,,3,,III,,5 L,E1,P001 IBC03 LP01,,T2,TP1,222
1173,,3,,II,,1 L,E2,P001 IBC02,,T4,TP1,222
1175,,3,,II,,1 L,E2,P001 IBC02,,T4,TP1,222
1176,,3,,II,,1 L,E2,P001 IBC02,,T4,TP1,222
1177,-2-,3,,III,,5 L,E1,P001 IBC03 LP01,,T2,TP1,222
1178,2-,3,,II,,1 L,E2,P001 IBC02,,T4,TP1,222
1179,,3,,II,,1 L,E2,P001 IBC02,,T4,TP1,222
1180,,3,,III,,5 L,E1,P001 IBC03 LP01,,T2,TP1,222
1181,,6.1,3,II,,100 ml,E4,P001 IBC02,,T7,TP2,222
1182,,6.1,3 8,I,354,0,E0,P602,,T20,TP2 TP13,222
1183,,4.3,3 8,I,,0,E0,P401,,T14,TP2 TP7 TP13,222
1184,,3,6.1,II,,1 L,E2,P001 IBC02,,T7,TP1,223
1185,,6.1,3,I,354 386,0,E0,P601,,T22,TP2 TP13,223
1188,,3,,III,,5 L,E1,P001 IBC03 LP01,,T2,TP1,223
1189,,3,,III,,5 L,E1,P001 IBC03 LP01,,T2,TP1,223
1190,,3,,II,,1 L,E2,P001 IBC02,,T4,TP1,223
1191,,3,,III,,5 L,E1,P001 IBC03 LP01,,T2,TP1,223
1192,,3,,III,,5 L,E1,P001 IBC03 LP01,,T2,TP1,223
1193,(),3,,II,,1 L,E2,P001 IBC02,,T4,TP1,223
1194,,3,6.1,I,,0,E0,P001,,,,223
1195,,3,,II,,1 L,E2,P001 IBC02,,T4,TP1,223
1196,,3,8,II,,0,E0,P010,,T10,TP2 TP7 TP13,223
1197,,3,,II,,5 L,E2,P001 IBC02,,T4,TP1 TP8,223
1197,,3,,III,223,5 L,E1,P001 IBC03 LP01,,T2,TP1,223
1198,,3,8,III,,5 L,E1,P001 IBC03,,T4,TP1,223
1199,,6.1,3,II,,100 ml,E4,P001 IBC02,,T7,TP2,223
1201,,3,,II,,1 L,E2,P001 IBC02,,T4,TP1,223
1201,,3,,III,223,5 L,E1,P001 IBC03 LP01,,T2,TP1,223
1202,,3,,III,,5 L,E1,P001 IBC03 LP01,,T2,TP1,223
1203,,3,,II,243,1 L,E2,P001 IBC02,,T4,TP1,223
1204,1%,3,,II,28,1 L,E0,P001 IBC02,PP5,,,223
1206,,3,,II,,1 L,E2,P001 IBC02,,T4,TP1,223
1207,,3,,III,,5 L,E1,P001 IBC03 LP01,,T2,TP1,224
1208,,3,,II,,1 L,E2,P001 IBC02,,T4,TP1,224
1210,( ),3,,I,163 367,500 ml,E3,P001,,T11,TP1 TP8,224
1210,( ),3,,II,163 367,5 L,E2,P001 IBC02,PP1,T4,TP1TP8,224
1210,( ),3,,III,163 223 367,5 L,E1,P001 IBC03 LP01,PP1,T2,TP1,224
1212,,3,,III,,5 L,E1,P001 IBC03 LP01,,T2,TP1,224
1213,,3,,II,,1 L,E2,P001 IBC02,,T4,TP1,224
1214,,3,8,II,,1 L,E2,P001 IBC02,,T7,TP1,224
1216,,3,,II,,1 L,E2,P001 IBC02,,T4,TP1,224
1218,,3,,I,386,0,E3,P001,,T11,TP2,224
1219,,3,,II,,1 L,E2,P001 IBC02,,T4,TP1,224
1220,,3,,II,,1 L,E2,P001 IBC02,,T4,TP1,224
1221,,3,8,I,,0,E0,P001,,T11,TP2,224
1222,,3,,II,26,1 L,E2,P001 IBC02,B7,,,224
1223,,3,,III,,5 L,E1,P001 IBC03 LP01,,T2,TP2,224
1224,,3,,II,274,1 L,E2,P001 IBC02,,T7,TP1 TP8 TP28,224
1224,,3,,III,223 274,5 L,E1,P001 IBC03 LP01,,T4,TP1 TP29,224
1228,,3,6.1,II,274,1 L,E0,P001 IBC02,,T11,TP2 TP27,224
1228,,3,6.1,III,223 274,5 L,E1,P001 IBC03,,T7,TP1 TP28,224
1229,,3,,III,,5 L,E1,P001 IBC03 LP01,,T2,TP1,224
1230,,3,6.1,II,279,1 L,E2,P001 IBC02,,T7,TP2,225
1231,,3,,II,,1 L,E2,P001 IBC02,,T4,TP1,225
1233,,3,,III,,5 L,E1,P001 IBC03 LP01,,T2,TP1,225
1234,(),3,,II,,1 L,E2,P001 IBC02,B8,T7,TP2,225
1235,,3,8,II,,1 L,E2,P001 IBC02,,T7,TP1,225
1237,,3,,II,,1 L,E2,P001 IBC02,,T4,TP1,225
1238,,6.1,3 8,I,354,0,E0,P602,,T22,TP2 TP13,225
1239,,6.1,3,I,354,0,E0,P602,,T22,TP2 TP13,225
1242,,4.3,3 8,I,,0,E0,P401,,T14,TP2 TP7 TP13,225
1243,,3,,I,,0,E3,P001,,T11,TP2,225
1244,,6.1,3 8,I,354,0,E0,P602,,T22,TP2 TP13,225
1245,,3,,II,,1 L,E2,P001 IBC02,,T4,TP1,225
1246,,3,,II,386,1 L,E2,P001 IBC02,,T4,TP1,225
1247,,3,,II,386,1 L,E2,P001 IBC02,,T4,TP1,225
1248,,3,,II,,1 L,E2,P001 IBC02,,T4,TP1,225
1249,,3,,II,,1 L,E2,P001 IBC02,,T4,TP1,225
1250,,3,8,II,,0,E0,P010,,T10,TP2 TP7 TP13,225
1251,,6.1,3 8,I,354 386,0,E0,P601,,T22,TP2 TP13,225
1259,,6.1,3,I,,0,E0,P601,,,,225
1261,,3,,II,26,1 L,E0,P001,,,,225
1262,,3,,II,,1 L,E2,P001 IBC02,,T4,TP1,225
1263,( ) (),3,,I,163 367,500 ml,E3,P001,,T11,TP1 TP8 TP27,225
1263,( ) (),3,,II,163 367,5 L,E2,P001 IBC02,PP1,T4,TP1 TP8 TP28,226
1263,( ) (),3,,III,163 223 367,5 L,E1,P001 IBC03 LP01,PP1,T2,TP1 TP29,226
1264,(),3,,III,,5 L,E1,P001 IBC03 LP01,,T2,TP1,226
1265,,3,,I,,0,E3,P001,,T11,TP2,226
1265,,3,,II,,1 L,E2,P001 IBC02,B8,T4,TP1,226
1266,,3,,II,163,5 L,E2,P001 IBC02,,T4,TP1 TP8,226
1266,,3,,III,163 223,5 L,E1,P001 IBC03 LP01,,T2,TP1,226
1267,,3,,I,357,500 ml,E3,P001,,T11,TP1 TP8,226
1267,,3,,II,357,1 L,E2,P001 IBC02,,T4,TP1 TP8,226
1267,,3,,III,223 357,5 L,E1,P001 IBC03 LP01,,T2,TP1,226
1268,,3,,I,,500 ml,E3,P001,,T11,TP1 TP8,226
1268,,3,,II,,1 L,E2,P001 IBC02,,T7,TP1 TP8 TP28,226
1268,,3,,III,223,5 L,E1,P001 IBC03 LP01,,T4,TP1 TP29,226
1272,,3,,III,,5 L,E1,P001 IBC03 LP01,,T2,TP1,226
1274,,3,,II,,1 L,E2,P001 IBC02,,T4,TP1,226
1274,,3,,III,223,5 L,E1,P001 IBC03 LP01,,T2,TP1,226
1275,,3,,II,,1 L,E2,P001 IBC02,,T7,TP1,226
1276,,3,,II,,1 L,E2,P001 IBC02,,T4,TP1,226
1277,,3,8,II,,1 L,E2,P001 IBC02,,T7,TP1,226
1278,1-,3,,II,,1 L,E0,P001 IBC02,B8,T7,TP2,227
1279,"1,2-",3,,II,,1 L,E2,P001 IBC02,,T4,TP1,227
1280,,3,,I,,0,E3,P001,,T11,TP2 TP7,227
1281,,3,,II,,1 L,E2,P001 IBC02,,T4,TP1,227
1282,,3,,II,,1 L,E2,P001 IBC02,,T4,TP2,227
1286,,3,,II,,5 L,E2,P001 IBC02,,T4,TP1,227
1286,,3,,III,223,5 L,E1,P001 IBC03 LP01,,T2,TP1,227
1287,,3,,II,,5 L,E2,P001 IBC02,,T4,TP1 TP8,227
1287,,3,,III,223,5 L,E1,P001 IBC03 LP01,,T2,TP1,227
1288,,3,,II,,1 L,E2,P001 IBC02,,T4,TP1 TP8,227
1288,,3,,III,223,5 L,E1,P001 IBC03 LP01,,T2,TP1,227
1289,,3,8,II,,1 L,E2,P001 IBC02,,T7,TP1 TP8,227
1289,,3,8,III,223,5 L,E1,P001 IBC03,,T4,TP1,227
1292,,3,,III,,5 L,E1,P001 IBC03 LP01,,T2,TP1,227
1293,,3,,II,,1 L,E2,P001 IBC02,,T4,TP1 TP8,227
1293,,3,,III,223,5 L,E1,P001 IBC03 LP01,,T2,TP1,227
1294,,3,,II,,1 L,E2,P001 IBC02,,T4,TP1,227
1295,,4.3,3 8,I,,0,E0,P401,,T14,TP2 TP7 TP13,227
1296,,3,8,II,,1 L,E2,P001 IBC02,,T7,TP1,227
1297,50%,3,8,I,,0,E0,P001,,T11,TP1,227
1297,50%,3,8,II,,1 L,E2,P001 IBC02,,T7,TP1,227
1297,50%,3,8,III,223,5 L,E1,P001 IBC03,,T7,TP1,227
1298,,3,8,II,,0,E0,P010,,T10,TP2 TP7 TP13,228
1299,,3,,III,,5 L,E1,P001 IBC03 LP01,,T2,TP1,228
1300,,3,,II,,1 L,E2,P001 IBC02,,T4,TP1,228
1300,,3,,III,223,5 L,E1,P001 IBC03 LP01,,T2,TP1,228
1301,,3,,II,386,1 L,E2,P001 IBC02,,T4,TP1,228
1302,,3,,I,386,0,E3,P001,,T11,TP2,228
1303,,3,,I,386,0,E3,P001,,T12,TP2 TP7,228
1304,,3,,II,386,1 L,E2,P001 IBC02,,T4,TP1,228
1305,,3,8,II,,0,E0,P010,,T10,TP2 TP7 TP13,228
1306,,3,,II,,5 L,E2,P001 IBC02,,T4,TP1 TP8,228
1306,,3,,III,223,5 L,E1,P001 IBC03 LP01,,T2,TP1,228
1307,,3,,II,,1 L,E2,P001 IBC02,,T4,TP1,228
1307,,3,,III,223,5 L,E1,P001 IBC03 LP01,,T2,TP1,228
1308,,3,,I,,0,E0,P001,PP33,,,228
1308,,3,,II,,1 L,E2,P001,PP33,,,228
1308,,3,,III,223,5 L,E1,P001,,,,228
1309,,4.1,,II,,1 kg,E2,P002 IBC08,"PP38 B2, B4",T3,TP33,228
1309,,4.1,,III,223,5 kg,E1,P002 IBC08 LP02,PP11 B3,T1,TP33,228
1310,10%,4.1,,I,28,0,E0,P406,PP26,,,228
1312,(),4.1,,III,,5 kg,E1,P002 IBC08 LP02,B3,T1,TP33,228
1313,,4.1,,III,,5 kg,E1,P002 IBC06,,T1,TP33,228
1314,,4.1,,III,,5 kg,E1,P002 IBC04,,T1,TP33,228
1318,,4.1,,III,,5 kg,E1,P002 IBC06,,T1,TP33,228
1320,15%,4.1,6.1,I,28,0,E0,P406,PP26,,,229
1321,15%,4.1,6.1,I,28,0,E0,P406,PP26,,,229
1322,15%,4.1,,I,28,0,E0,P406,PP26,,,229
1323,,4.1,,II,249,1 kg,E2,P002 IBC08,"B2, B4",T3,TP33,229
1324,,4.1,,III,,5 kg,E1,P002,PP15,,,229
1325,,4.1,,II,274,1 kg,E2,P002 IBC08,"B2, B4",T3,TP33,229
1325,,4.1,,III,223 274,5 kg,E1,P002 IBC08 LP02,B3,T1,TP33,229
1326,25% ( ) (a) 53 (b) 840,4.1,,II,,1 kg,E2,P410 IBC06,PP40 B2,T3,TP33,229
1327,,4.1,,,281,3 kg,E0,P003 IBC08,PP19 B6,,,229
1328,,4.1,,III,,5 kg,E1,P002 IBC08,B3,T1,TP33,229
1330,,4.1,,III,,5 kg,E1,P002 IBC06,,T1,TP33,229
1331,“”,4.1,,III,293,5 kg,E0,P407,PP27,,,229
1332,,4.1,,III,,5 kg,E1,P002 IBC08 LP02,B3,T1,TP33,229
1333,,4.1,,II,,1 kg,E2,P002 IBC08,"B2, B4",,,229
1334,,4.1,,III,,5 kg,E1,P002 IBC08 LP02,B3,T1 BK1 BK2 BK3,TP33,229
1336,() 20%,4.1,,I,28,0,E0,P406,,,,229
1337,20%,4.1,,I,28,0,E0,P406,,,,229
1338,,4.1,,III,,5 kg,E1,P410 IBC08,B3,T1,TP33,229
1339,,4.1,,II,,1 kg,E2,P410 IBC04,,T3,TP33,229
1340,,4.3,4.1,II,,500 g,E2,P410 IBC04,,T3,TP33,229
1341,,4.1,,II,,1 kg,E2,P410 IBC04,,T3,TP33,229
1343,,4.1,,II,,1 kg,E2,P410 IBC04,,T3,TP33,230
1344,30%,4.1,,I,28,0,E0,P406,PP26,,,230
1345,840 45%,4.1,,II,223,1 kg,E2,P002 IBC08,"B2, B4",T3,TP33,230
1346,,4.1,,III,32,5 kg,E1,P002 IBC08 LP02,B3,T1,TP33,230
1347,30%,4.1,,I,28,0,E0,P406,PP25 PP26,,,230
1348,15%,4.1,6.1,I,28,0,E0,P406,PP26,,,230
1349,20%,4.1,,I,28,0,E0,P406,PP26,,,230
1350,,4.1,,III,242,5 kg,E1,P002 IBC08 LP02,B3,T1 BK1 BK2 BK3,TP33,230
1352,25% ( ) (a) 53 (b) 840,4.1,,II,,1 kg,E2,P410 IBC06,PP40 B2,T3,TP33,230
1353,,4.1,,III,,5 kg,E1,P410 IBC08,B3,,,230
1354,30%,4.1,,I,28,0,E0,P406,,,,230
1355,30%,4.1,,I,28,0,E0,P406,,,,230
1356,30%,4.1,,I,28,0,E0,P406,,,,230
1357,20%,4.1,,I,28 227,0,E0,P406,,,,230
1358,25% ( ) 53 840,4.1,,II,,1 kg,E2,P410 IBC06,PP40 B2,T3,TP33,230
1360,,4.3,6.1,I,,0,E0,P403,,,,230
1361,,4.2,,II,,0,E0,P002 IBC06,PP12,T3,TP33,230
1361,,4.2,,III,223,0,E0,P002 IBC08 LP02,PP12 B3,T1,TP33,230
1362,,4.2,,III,223,0,E1,P002 IBC08 LP02,PP11 B3,T1,TP33,231
1363,,4.2,,III,29,0,E0,P003 IBC08 LP02,"PP20 B3, B6",BK2,,231
1364,,4.2,,III,,0,E0,P003 IBC08 LP02,"PP19 B3, B6",,,231
1365,,4.2,,III,29,0,E0,P003 IBC08 LP02,"PP19 B3, B6",,,231
1369,,4.2,,II,,0,E2,P410 IBC06,B2,T3,TP33,231
1372,,4.2,,III,123,0,E1,P410,,,,231
1373,,4.2,,III,,0,E0,P410 IBC08,B3,T1,TP33,231
1374,(),4.2,,II,300,0,E2,P410 IBC08,"B2, B4",T3,TP33,231
1376,,4.2,,III,223,0,E0,P002 IBC08 LP02,B3,T1 BK2,TP33,231
1378,,4.2,,II,274,0,E0,P410 IBC01,PP39,T3,TP33,231
1379,(),4.2,,III,,0,E0,P410 IBC08,B3,,,231
1380,,4.2,6.1,I,,0,E0,P601,,,,231
1381,,4.2,6.1,I,,0,E0,P405,,T9,TP3 TP31,231
1382,30%,4.2,,II,,0,E2,P410 IBC06,B2,T3,TP33,231
1383,,4.2,,I,274,0,E0,P404,,T21,TP7 TP33,231
1384,,4.2,,II,,0,E2,P410 IBC06,B2,T3,TP33,231
1385,30%,4.2,,II,,0,E2,P410 IBC06,B2,T3,TP33,231
1386,1.5% 11%,4.2,,III,29,0,E0,P003 IBC08 LP02,"PP20 B3, B6",BK2,,231
1387,,4.2,,III,123,0,E1,P410,,,,231
1389,,4.3,,I,182,0,E0,P402,,,,231
1390,,4.3,,II,182,500 g,E2,P410 IBC07,B2,T3,TP33,231
1391,,4.3,,I,182 183,0,E0,P402,,T13,TP2 TP7 TP42,231
1392,,4.3,,I,183,0,E0,P402,,,,231
1393,,4.3,,II,,500 g,E2,P410 IBC07,B2,T3,TP33,232
1394,,4.3,,II,,500 g,E2,P410 IBC07,B2,T3,TP33,232
1395,,4.3,6.1,II,,500 g,E2,P410 IBC05,B2,T3,TP33,232
1396,,4.3,,II,,500 g,E2,P410 IBC07,B2,T3,TP33,232
1396,,4.3,,III,223,1 kg,E1,P410 IBC08,B4,T1,TP33,232
1397,,4.3,6.1,I,,0,E0,P403,,,,232
1398,,4.3,,III,37 223,1 kg,E1,P410 IBC08,B4,T1 BK2,TP33,232
1400,,4.3,,II,,500 g,E2,P410 IBC07,B2,T3,TP33,232
1401,,4.3,,II,,500 g,E2,P410 IBC07,B2,T3,TP33,232
1402,,4.3,,I,,0,E0,P403 IBC04,B1,T9,TP7 TP33,232
1402,,4.3,,II,,500 g,E2,P410 IBC07,B2,T3,TP33,232
1403,0.1%,4.3,,III,38,1 kg,E1,P410 IBC08,B4,T1,TP33,232
1404,,4.3,,I,,0,E0,P403,,,,232
1405,,4.3,,II,,500 g,E2,P410 IBC07,B2,T3,TP33,232
1405,,4.3,,III,223,1 kg,E1,P410 IBC08,B4,T1,TP33,232
1407,,4.3,,I,,0,E0,P403 IBC04,B1,,,232
1408,30% - 90%,4.3,6.1,III,39 223,1 kg,E1,P003 IBC08,"PP20 B4, B6",T1BK2,TP33,232
1409,,4.3,,I,274,0,E0,P403,,,,232
1409,,4.3,,II,274,500 g,E2,P410 IBC04,,T3,TP33,232
1410,,4.3,,I,,0,E0,P403,,,,232
1411,,4.3,3,I,,0,E0,P402,,,,232
1413,,4.3,,I,,0,E0,P403,,,,232
1414,,4.3,,I,,0,E0,P403,,,,232
1415,,4.3,,I,,0,E0,P403 IBC04,B1,T9,TP7 TP33,232
1417,,4.3,,II,,500 g,E2,P410 IBC07,B2,T3,TP33,232
1418,,4.3,4.2,I,,0,E0,P403,,,,232
1418,,4.3,4.2,II,,0,E2,P410 IBC05,B2,T3,TP33,232
1418,,4.3,4.2,III,223,0,E1,P410 IBC08,B4,T1,TP33,232
1419,,4.3,6.1,I,,0,E0,P403,,,,232
1420,,4.3,,I,,0,E0,P402,,,,233
1421,,4.3,,I,182,0,E0,P402,,,,233
1422,,4.3,,I,,0,E0,P402,,T9,TP3 TP7 TP31,233
1423,,4.3,,I,,0,E0,P403 IBC04,B1,,,233
1426,,4.3,,I,,0,E0,P403,,,,233
1427,,4.3,,I,,0,E0,P403,,,,233
1428,,4.3,,I,,0,E0,P403 IBC04,B1,T9,TP7 TP33,233
1431,,4.2,8,II,,0,E2,P410 IBC05,B2,T3,TP33,233
1432,,4.3,6.1,I,,0,E0,P403,,,,233
1433,,4.3,6.1,I,,0,E0,P403,,,,233
1435,,4.3,,III,223,1 kg,E1,P002 IBC08,B4,T1 BK2,TP33,233
1436,,4.3,4.2,I,,0,E0,P403,,,,233
1436,,4.3,4.2,II,,0,E2,P410 IBC07,B2,T3,TP33,233
1436,,4.3,4.2,III,223,0,E1,P410 IBC08,B4,T1,TP33,233
1437,,4.1,,II,,1 kg,E2,P410 IBC04,PP40,T3,TP33,233
1438,,5.1,,III,,5 kg,E1,P002 IBC08 LP02,B3,T1 BK1 BK2,TP33,233
1439,,5.1,,II,,1 kg,E2,P002 IBC08,"B2, B4",T3,TP33,233
1442,,5.1,,II,152,1 kg,E2,P002 IBC06,B2,T3,TP33,233
1444,,5.1,,III,,5 kg,E1,P002 IBC08 LP02,B3,T1,TP33,233
1445,,5.1,6.1,II,,1 kg,E2,P002 IBC06,B2,T3,TP33,233
1446,,5.1,6.1,II,,1 kg,E2,P002 IBC08,"B2, B4",T3,TP33,233
1447,,5.1,6.1,II,,1 kg,E2,P002 IBC06,B2,T3,TP33,233
1448,,5.1,6.1,II,,1 kg,E2,P002 IBC06,B2,T3,TP33,233
1449,,5.1,6.1,II,,1 kg,E2,P002 IBC06,B2,T3,TP33,233
1450,,5.1,,II,274 350,1 kg,E2,P002 IBC08,"B2, B4",T3,TP33,233
1451,,5.1,,III,,5 kg,E1,P002 IBC08 LP02,B3,T1,TP33,233
1452,,5.1,,II,,1 kg,E2,P002 IBC08,"B2, B4",T3,TP33,234
1453,,5.1,,II,,1 kg,E2,P002 IBC08,"B2, B4",T3,TP33,234
1454,,5.1,,III,208,5 kg,E1,P002 IBC08 LP02,B3,T1 BK1 BK2 BK3,TP33,234
1455,,5.1,,II,,1 kg,E2,P002 IBC06,B2,T3,TP33,234
1456,,5.1,,II,,1 kg,E2,P002 IBC06,B2,T3,TP33,234
1457,,5.1,,II,,1 kg,E2,P002 IBC06,B2,T3,TP33,234
1458,,5.1,,II,,1 kg,E2,P002 IBC08,"B2, B4",T3,TP33,234
1458,,5.1,,III,223,5 kg,E1,P002 IBC08 LP02,B3,T1,TP33,234
1459,,5.1,,II,,1 kg,E2,P002 IBC08,"B2, B4",T3,TP33,234
1459,,5.1,,III,223,5 kg,E1,P002 IBC08 LP02,B3,T1,TP33,234
1461,,5.1,,II,274 351,1 kg,E2,P002 IBC06,B2,T3,TP33,234
1462,,5.1,,II,274 352,1 kg,E2,P002 IBC06,B2,T3,TP33,234
1463,,5.1,6.1 8,II,,1 kg,E2,P002 IBC08,"B2, B4",T3,TP33,234
1465,,5.1,,III,,5 kg,E1,P002 IBC08 LP02,B3,T1,TP33,234
1466,,5.1,,III,,5 kg,E1,P002 IBC08 LP02,B3,T1,TP33,234
1467,,5.1,,III,,5 kg,E1,P002 IBC08 LP02,B3,T1,TP33,234
1469,,5.1,6.1,II,,1 kg,E2,P002 IBC08,"B2, B4",T3,TP33,234
1470,,5.1,6.1,II,,1 kg,E2,P002 IBC06,B2,T3,TP33,234
1471,,5.1,,II,,1 kg,E2,P002 IBC08,"B2, B4",,,234
1471,,5.1,,III,223,5kg,E1,P002 IBC08 LP02,B3,T1,TP33,234
1472,,5.1,,II,,1 kg,E2,P002 IBC06,B2,T3,TP33,234
1473,,5.1,,II,,1 kg,E2,P002 IBC08,"B2, B4",T3,TP33,235
1474,,5.1,,III,332,5 kg,E1,P002 IBC08 LP02,B3,T1 BK1 BK2 BK3,TP33,235
1475,,5.1,,II,,1 kg,E2,P002 IBC06,B2,T3,TP33,235
1476,,5.1,,II,,1 kg,E2,P002 IBC06,B2,T3,TP33,235
1477,,5.1,,II,,1 kg,E2,P002 IBC08,"B2, B4",T3,TP33,235
1477,,5.1,,III,223,5 kg,E1,P002 IBC08 LP02,B3,T1,TP33,235
1479,,5.1,,I,274,0,E0,P503 IBC05,B1,,,235
1479,,5.1,,II,274,1 kg,E2,P002 IBC08,"B2, B4",T3,TP33,235
1479,,5.1,,III,223 274,5 kg,E1,P002 IBC08 LP02,B3,T1,TP33,235
1481,,5.1,,II,,1 kg,E2,P002 IBC06,B2,T3,TP33,235
